imdb_title_id,title,original_title,year,country,budget,avg_vote,votes,Comedy,Drama,Crime,Romance,Biography,History,Thriller,Action,Music,War,Adventure,Family,Fantasy,Horror,Mystery,Western,Sci-Fi,Animation,Musical,Sport,cluster,cluster2
tt0166709,Memórias Póstumas de Brás Cubas,Memórias Póstumas de Brás Cubas,2001,"Portugal, Brazil",NA,6.8,714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
tt0171928,O Xangô de Baker Street,O Xangô de Baker Street,2001,"Brazil, Portugal",NA,6.7,1057,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
tt0180837,Bossa Nova,Bossa Nova,2000,"Brazil, USA",NA,6.2,1711,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
tt0189509,Estorvo,Estorvo,2000,"Brazil, Cuba, Portugal",NA,5.5,154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0196811,Olga,Olga,2004,Brazil,BRL 12000000,6.6,3099,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8
tt0200257,Parola e utopia,Palavra e Utopia,2000,"Spain, Italy, France, Brazil, Portugal",NA,6.6,356,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
tt0207163,Tolerância,Tolerância,2000,Brazil,NA,6.4,441,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,6
tt0210971,A Selva,A Selva,2002,"Portugal, Brazil, Spain",EUR 3600000,5.5,271,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,7
tt0212897,Cronicamente Inviável,Cronicamente Inviável,2000,Brazil,NA,6.9,604,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9
tt0215715,O Dia da Caça,O Dia da Caça,2000,Brazil,NA,6,157,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1
tt0222760,Até que a Vida nos Separe,Até que a Vida nos Separe,2000,Brazil,NA,6.5,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0237004,Através da Janela,Através da Janela,2000,Brazil,NA,5.6,106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0241663,Lavoura Arcaica,Lavoura Arcaica,2001,Brazil,NA,7.7,1654,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0241683,O Casamento de Louise,O Casamento de Louise,2001,Brazil,NA,6.2,129,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
tt0244504,Eu Tu Eles,Eu Tu Eles,2000,Brazil,$ 1900000,6.9,1724,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
tt0245547,Villa-Lobos: Uma Vida de Paixão,Villa-Lobos: Uma Vida de Paixão,2000,Brazil,NA,6.2,257,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,8
tt0258413,Amélia,Amélia,2000,Brazil,NA,6.7,183,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
